dnaA	Rv0001
lipM	Rv2284
Rv2285	Rv2285
Rv2286c	Rv2286c
yjcE	Rv2287
Rv2288	Rv2288
cdh	Rv2289
lppO	Rv2290
sseB	Rv2291
Rv2292c	Rv2292c
Rv2293c	Rv2293c
Rv2294	Rv2294
Rv2295	Rv2295
Rv2296	Rv2296
Rv2297	Rv2297
Rv2298	Rv2298
htpG	Rv2299c
Rv2300c	Rv2300c
cut2	Rv2301
Rv2302	Rv2302
Rv2303c	Rv2303c
Rv2304c	Rv2304c
Rv2305	Rv2305
Rv2306A	pseudogene=unknown
Rv2307c	Rv2307c
Rv2307A	Rv2307A
Rv2307B	Rv2307B
Rv2307D	Rv2307D
Rv2308	Rv2308
Rv2308a	Rv2308a
metV	Rvnt24
Rv2309A	Rv2309A
Rv2310	Rv2310
Rv2311	Rv2311
Rv2312	Rv2312
Rv2313c	Rv2313c
Rv2314c	Rv2314c
Rv2315c	Rv2315c
uspA	Rv2316
uspB	Rv2317
uspC	Rv2318
Rv2319c	Rv2319c
rocE	Rv2320c
Rv2323c	Rv2323c
Rv2324	Rv2324
Rv2325c	Rv2325c
Rv2326c	Rv2326c
Rv2327	Rv2327
PE23	Rv2328
narK1	Rv2329c
lppP	Rv2330c
Rv2331	Rv2331
Rv2331A	Rv2331A
mez	Rv2332
stp	Rv2333c
cysK1	Rv2334
cysE	Rv2335
Rv2336	Rv2336
Rv2337c	Rv2337c
moeW	Rv2338c
mmpL9	Rv2339
PE_PGRS39	Rv2340c
asnT	Rvnt25
lppQ	Rv2341
Rv2342	Rv2342
dnaG	Rv2343c
dgt	Rv2344c
Rv2345	Rv2345
esxO	Rv2346c
esxP	Rv2347c
Rv2348c	Rv2348c
plcC	Rv2349c
plcB	Rv2350c
plcA	Rv2351c
PPE38	Rv2352c
PPE39	Rv2353c
glyS	Rv2357c
smtB	Rv2358
zur	Rv2359
Rv2360c	Rv2360c
uppS	Rv2361c
recO	Rv2362c
amiA2	Rv2363
era	Rv2364c
Rv2365c	Rv2365c
Rv2366c	Rv2366c
Rv2367c	Rv2367c
phoH1	Rv2368c
Rv2369c	Rv2369c
Rv2370c	Rv2370c
PE_PGRS40	Rv2371
Rv2372c	Rv2372c
dnaJ2	Rv2373c
hrcA	Rv2374c
Rv2375	Rv2375
cfp2	Rv2376c
Rv2377c	Rv2377c
mbtG	Rv2378c
mbtF	Rv2379c
mbtE	Rv2380c
mbtD	Rv2381c
mbtC	Rv2382c
mbtB	Rv2383c
mbtA	Rv2384
mbtJ	Rv2385
mbtI	Rv2386c
Rv2386a	Rv2386a
Rv2387	Rv2387
hemN	Rv2388c
rpfD	Rv2389c
Rv2390c	Rv2390c
sirA	Rv2391
cysH	Rv2392
che1	Rv2393
ggtB	Rv2394
Rv2395	Rv2395
mcr7	RVnc0024
aprA	Rv2395A
aprB	Rv2395B
PE_PGRS41	Rv2396
cysA1	Rv2397c
cysW	Rv2398c
cysT	Rv2399c
subI	Rv2400c
Rv2401	Rv2401
Rv2401A	Rv2401A
Rv2402	Rv2402
lppR	Rv2403c
lepA	Rv2404c
Rv2405	Rv2405
Rv2406c	Rv2406c
Rv2407	Rv2407
PE24	Rv2408
Rv2409c	Rv2409c
Rv2410c	Rv2410c
Rv2411c	Rv2411c
rpsT	Rv2412
Rv2413c	Rv2413c
Rv2414c	Rv2414c
Rv2415c	Rv2415c
eis	Rv2416c
Rv2417c	Rv2417c
Rv2418c	Rv2418c
gpgP	Rv2419c
Rv2420c	Rv2420c
nadD	Rv2421c
Rv2422	Rv2422
Rv2423	Rv2423
Rv2424c	Rv2424c
Rv2425c	Rv2425c
Rv2426c	Rv2426c
proA	Rv2427c
oxyR'	pseudogene=unknown
ahpC	Rv2428
ahpD	Rv2429
PPE41	Rv2430c
PE25	Rv2431c
Rv2432c	Rv2432c
Rv2433c	Rv2433c
Rv2434c	Rv2434c
Rv2435c	Rv2435c
rbsK	Rv2436
Rv2437	Rv2437
nadE	Rv2438c
Rv2438A	Rv2438A
proB	Rv2439c
obg	Rv2440c
rpmA	Rv2441c
rplU	Rv2442c
dctA	Rv2443
rne	Rv2444c
ndkA	Rv2445c
Rv2446c	Rv2446c
folC	Rv2447c
valS	Rv2448c
Rv2449c	Rv2449c
rpfE	Rv2450c
Rv2451	Rv2451
Rv2452c	Rv2452c
mobA	Rv2453c
Rv2454c	Rv2454c
Rv2455c	Rv2455c
Rv2456c	Rv2456c
clpX	Rv2457c
mmuM	Rv2458
Rv2459	Rv2459
clpP2	Rv2460c
clpP1	Rv2461c
tig	Rv2462c
proU	Rvnt26
glyV	Rvnt27
lipP	Rv2463
Rv2464c	Rv2464c
rpiB	Rv2465c
Rv2466c	Rv2466c
pepN	Rv2467
Rv2468c	Rv2468c
Rv2468A	Rv2468A
Rv2469c	Rv2469c
glbO	Rv2470
aglA	Rv2471
Rv2472	Rv2472
Rv2473	Rv2473
Rv2474c	Rv2474c
Rv2475c	Rv2475c
gdh	Rv2476c
Rv2477c	Rv2477c
Rv2478c	Rv2478c
Rv2481c	Rv2481c
plsB2	Rv2482c
plsC	Rv2483c
Rv2484c	Rv2484c
lipQ	Rv2485c
argW	Rvnt28
echA14	Rv2486
PE_PGRS42	Rv2487c
Rv2488c	Rv2488c
Rv2489c	Rv2489c
PE_PGRS43	Rv2490c
Rv2490a	Rv2490a
Rv2491	Rv2491
Rv2492	Rv2492
vapB38	Rv2493
vapC38	Rv2494
bkdC	Rv2495c
bkdB	Rv2496c
bkdA	Rv2497c
citE	Rv2498c
Rv2499c	Rv2499c
fadE19	Rv2500c
accA1	Rv2501c
accD1	Rv2502c
scoB	Rv2503c
scoA	Rv2504c
fadD35	Rv2505c
Rv2506	Rv2506
Rv2507	Rv2507
Rv2508c	Rv2508c
Rv2509	Rv2509
Rv2510c	Rv2510c
orn	Rv2511
hisT	Rvnt29
Rv2512c	Rv2512c
Rv2512a	Rv2512a
Rv2513	Rv2513
Rv2514c	Rv2514c
Rv2515c	Rv2515c
Rv2516c	Rv2516c
Rv2517c	Rv2517c
ldtB	Rv2518c
lysU	Rvnt30
PE26	Rv2519
Rv2520c	Rv2520c
bcp	Rv2521
Rv2522c	Rv2522c
acpS	Rv2523c
fas	Rv2524c
Rv2525c	Rv2525c
vapB17	Rv2526
vapC17	Rv2527
mrr	Rv2528c
Rv2529	Rv2529
vapC39	Rv2530c
vapB39	Rv2530A
adi	Rv2531c
Rv2532c	Rv2532c
nusB	Rv2533c
efp	Rv2534c
pepQ	Rv2535c
Rv2536	Rv2536
aroD	Rv2537c
aroB	Rv2538c
aroK	Rv2539c
aroF	Rv2540c
Rv2541	Rv2541
Rv2542	Rv2542
lppA	Rv2543
lppB	Rv2544
vapB18	Rv2545
vapC18	Rv2546
vapB19	Rv2547
vapC19	Rv2548
Rv2548A	Rv2548A
vapC20	Rv2549c
vapB20	Rv2550c
Rv2551c	Rv2551c
aroE	Rv2552c
Rv2553c	Rv2553c
Rv2554c	Rv2554c
alaS	Rv2555c
Rv2556c	Rv2556c
Rv2557	Rv2557
Rv2558	Rv2558
Rv2559c	Rv2559c
Rv2560	Rv2560
Rv2561	pseudogene=unknown
Rv2563	Rv2563
glnQ	Rv2564
Rv2565	Rv2565
Rv2566	Rv2566
Rv2567	Rv2567
Rv2568c	Rv2568c
Rv2569c	Rv2569c
Rv2570	Rv2570
Rv2571c	Rv2571c
aspS	Rv2572c
Rv2573	Rv2573
Rv2574	Rv2574
Rv2575	Rv2575
Rv2576c	Rv2576c
Rv2577	Rv2577
Rv2578c	Rv2578c
dhaA	Rv2579
hisS	Rv2580c
Rv2581c	Rv2581c
ppiB	Rv2582
relA	Rv2583c
apt	Rv2584c
Rv2585c	Rv2585c
secF	Rv2586c
secD	Rv2587c
yajC	Rv2588c
gabT	Rv2589
fadD9	Rv2590
PE_PGRS44	Rv2591
ruvB	Rv2592c
ruvA	Rv2593c
ruvC	Rv2594c
vapB40	Rv2595
vapC40	Rv2596
Rv2597	Rv2597
Rv2598	Rv2598
Rv2599	Rv2599
Rv2600	Rv2600
speE	Rv2601
vapB41	Rv2601A
vapC41	Rv2602
Rv2603c	Rv2603c
snoP	Rv2604c
tesB2	Rv2605c
snzP	Rv2606c
pdxH	Rv2607
PPE42	Rv2608
Rv2609c	Rv2609c
pimA	Rv2610c
Rv2611c	Rv2611c
pgsA1	Rv2612c
Rv2613c	Rv2613c
thrS	Rv2614c
Rv2614A	Rv2614A
PE_PGRS45	Rv2615c
Rv2616	Rv2616
Rv2617c	Rv2617c
Rv2618	Rv2618
Rv2619c	Rv2619c
Rv2620c	Rv2620c
Rv2621c	Rv2621c
Rv2622	Rv2622
TB31.7	Rv2623
Rv2624c	Rv2624c
Rv2625c	Rv2625c
hrp1	Rv2626c
Rv2627c	Rv2627c
Rv2628	Rv2628
Rv2629	Rv2629
Rv2630	Rv2630
Rv2631	Rv2631
Rv2632c	Rv2632c
Rv2633c	Rv2633c
PE_PGRS46	Rv2634c
Rv2635	Rv2635
Rv2636	Rv2636
dedA	Rv2637
Rv2638	Rv2638
Rv2639c	Rv2639c
Rv2640c	Rv2640c
cadI	Rv2641
Rv2642	Rv2642
arsC	Rv2643
Rv2644c	Rv2644c
valT	Rvnt31
glyT	Rvnt32
cysU	Rvnt33
valU	Rvnt34
Rv2645	Rv2645
Rv2646	Rv2646
Rv2647	Rv2647
Rv2650c	Rv2650c
Rv2651c	Rv2651c
Rv2652c	Rv2652c
Rv2653c	Rv2653c
Rv2654c	Rv2654c
Rv2655c	Rv2655c
Rv2656c	Rv2656c
Rv2657c	Rv2657c
Rv2658c	Rv2658c
Rv2659c	Rv2659c
Rv2660c	Rv2660c
Rv2661c	Rv2661c
Rv2662	Rv2662
Rv2663	Rv2663
Rv2664	Rv2664
Rv2665	Rv2665
clpC2	Rv2667
Rv2668	Rv2668
Rv2669	Rv2669
Rv2670c	Rv2670c
ribD	Rv2671
Rv2672	Rv2672
aftC	Rv2673
msrB	Rv2674
Rv2675c	Rv2675c
Rv2676c	Rv2676c
hemY	Rv2677c
hemE	Rv2678c
echA15	Rv2679
Rv2680	Rv2680
Rv2681	Rv2681
dxs1	Rv2682c
Rv2683	Rv2683
arsA	Rv2684
arsB1	Rv2685
Rv2686c	Rv2686c
Rv2687c	Rv2687c
Rv2688c	Rv2688c
Rv2689c	Rv2689c
Rv2690c	Rv2690c
ceoB	Rv2691
ceoC	Rv2692
Rv2693c	Rv2693c
Rv2694c	Rv2694c
Rv2695	Rv2695
Rv2696c	Rv2696c
dut	Rv2697c
Rv2698	Rv2698
Rv2699c	Rv2699c
Rv2700	Rv2700
suhB	Rv2701c
ppgK	Rv2702
sigA	Rv2703
Rv2704	Rv2704
Rv2705c	Rv2705c
Rv2706c	Rv2706c
Rv2707	Rv2707
Rv2708c	Rv2708c
Rv2709	Rv2709
sigB	Rv2710
ideR	Rv2711
Rv2712c	Rv2712c
sthA	Rv2713
Rv2714	Rv2714
Rv2715	Rv2715
Rv2716	Rv2716
Rv2717c	Rv2717c
nrdR	Rv2718c
Rv2719c	Rv2719c
lexA	Rv2720
Rv2721c	Rv2721c
Rv2722	Rv2722
Rv2723	Rv2723
fadE20	Rv2724c
hflX	Rv2725c
dapF	Rv2726c
miaA	Rv2727c
Rv2728c	Rv2728c
Rv2729c	Rv2729c
Rv2730	Rv2730
Rv2731	Rv2731
Rv2732c	Rv2732c
Rv2733c	Rv2733c
Rv2734	Rv2734
Rv2735c	Rv2735c
recX	Rv2736c
recA	Rv2737c
Rv2738c	Rv2738c
Rv2739c	Rv2739c
ephG	Rv2740
PE_PGRS47	Rv2741
Rv2742c	Rv2742c
Rv2743c	Rv2743c
35kd_ag	Rv2744c
clgR	Rv2745c
pgsA3	Rv2746c
argA	Rv2747
ftsK	Rv2748c
Rv2749	Rv2749
Rv2750	Rv2750
Rv2751	Rv2751
Rv2752c	Rv2752c
dapA	Rv2753c
thyX	Rv2754c
hsdM	Rv2756c
vapC21	Rv2757c
vapB21	Rv2758c
vapC42	Rv2759c
vapB42	Rv2760c
hsdS	Rv2761c
Rv2762c	Rv2762c
dfrA	Rv2763c
thyA	Rv2764c
Rv2765	Rv2765
fabG5	Rv2766c
Rv2767c	Rv2767c
PPE43	Rv2768c
PE27	Rv2769c
PPE44	Rv2770c
Rv2771c	Rv2771c
Rv2772c	Rv2772c
dapB	Rv2773c
Rv2774c	Rv2774c
Rv2775	Rv2775
Rv2776c	Rv2776c
Rv2777c	Rv2777c
Rv2778c	Rv2778c
Rv2779c	Rv2779c
ald	Rv2780
Rv2781c	Rv2781c
pepR	Rv2782c
gpsI	Rv2783c
lppU	Rv2784c
rpsO	Rv2785c
ribF	Rv2786c
Rv2787	Rv2787
sirR	Rv2788
fadE21	Rv2789c
ltp1	Rv2790c
Rv2791c	Rv2791c
Rv2792c	Rv2792c
truB	Rv2793c
pptT	Rv2794c
Rv2795c	Rv2795c
lppV	Rv2796c
Rv2797c	Rv2797c
Rv2798c	Rv2798c
Rv2799	Rv2799
Rv2800	Rv2800
mazF9	Rv2801c
mazE9	Rv2801A
Rv2802c	Rv2802c
Rv2803	Rv2803
Rv2804c	Rv2804c
Rv2805	Rv2805
Rv2806	Rv2806
Rv2807	Rv2807
Rv2808	Rv2808
Rv2809	Rv2809
Rv2811	Rv2811
Rv2812	Rv2812
Rv2813	Rv2813
Rv2816c	Rv2816c
Rv2817c	Rv2817c
Rv2818c	Rv2818c
Rv2819c	Rv2819c
Rv2820c	Rv2820c
Rv2821c	Rv2821c
Rv2822c	Rv2822c
Rv2823c	Rv2823c
Rv2824c	Rv2824c
Rv2825c	Rv2825c
Rv2826c	Rv2826c
Rv2827c	Rv2827c
Rv2828c	Rv2828c
Rv2828A	Rv2828A
vapC22	Rv2829c
vapB22	Rv2830c
echA16	Rv2831
ugpC	Rv2832c
ugpB	Rv2833c
ugpE	Rv2834c
ugpA	Rv2835c
dinF	Rv2836c
Rv2837c	Rv2837c
rbfA	Rv2838c
infB	Rv2839c
Rv2840c	Rv2840c
nusA	Rv2841c
Rv2842c	Rv2842c
Rv2843	Rv2843
Rv2844	Rv2844
proS	Rv2845c
efpA	Rv2846c
cysG	Rv2847c
cobB	Rv2848c
cobO	Rv2849c
Rv2850c	Rv2850c
Rv2851c	Rv2851c
mqo	Rv2852c
PE_PGRS48	Rv2853
Rv2854	Rv2854
mtr	Rv2855
nicT	Rv2856
Rv2857c	Rv2857c
aldC	Rv2858c
Rv2859c	Rv2859c
glnA4	Rv2860c
mapB	Rv2861c
Rv2862c	Rv2862c
vapB23	Rv2862A
vapC23	Rv2863
Rv2864c	Rv2864c
relF	Rv2865
relG	Rv2866
Rv2867c	Rv2867c
gcpE	Rv2868c
rip	Rv2869c
dxr	Rv2870c
vapB43	Rv2871
vapC43	Rv2872
mpt83	Rv2873
dipZ	Rv2874
mpt70	Rv2875
Rv2876	Rv2876
merT	Rv2877c
mpt53	Rv2878c
cdsA	Rv2881c
frr	Rv2882c
pyrH	Rv2883c
Rv2884	Rv2884
Rv2885c	Rv2885c
Rv2886c	Rv2886c
Rv2887	Rv2887
amiC	Rv2888c
tsf	Rv2889c
rpsB	Rv2890c
Rv2891	Rv2891
PPE45	Rv2892c
Rv2893	Rv2893
xerC	Rv2894c
viuB	Rv2895c
Rv2896c	Rv2896c
Rv2897c	Rv2897c
Rv2898c	Rv2898c
fdhD	Rv2899c
fdhF	Rv2900c
Rv2901c	Rv2901c
rnhB	Rv2902c
lepB	Rv2903c
rplS	Rv2904c
lppW	Rv2905
trmD	Rv2906c
rimM	Rv2907c
Rv2908c	Rv2908c
rpsP	Rv2909c
Rv2910c	Rv2910c
dacB2	Rv2911
Rv2912c	Rv2912c
Rv2913c	Rv2913c
pknI	Rv2914c
Rv2915c	Rv2915c
ffh	Rv2916c
Rv2917	Rv2917
glnD	Rv2918c
glnB	Rv2919c
amt	Rv2920c
ftsY	Rv2921c
smc	Rv2922c
acyP	Rv2922A
Rv2923c	Rv2923c
fpg	Rv2924c
rnc	Rv2925c
Rv2926c	Rv2926c
Rv2927c	Rv2927c
tesA	Rv2928
Rv2929	Rv2929
fadD26	Rv2930
ppsA	Rv2931
ppsB	Rv2932
ppsC	Rv2933
ppsD	Rv2934
ppsE	Rv2935
drrA	Rv2936
drrB	Rv2937
drrC	Rv2938
papA5	Rv2939
mas	Rv2940c
fadD28	Rv2941
mmpL7	Rv2942
Rv2943	Rv2943
Rv2943A	Rv2943A
Rv2944	Rv2944
lppX	Rv2945c
pks1	Rv2946c
pks15	Rv2947c
fadD22	Rv2948c
Rv2949c	Rv2949c
fadD29	Rv2950c
Rv2951c	Rv2951c
Rv2952	Rv2952
Rv2953	Rv2953
Rv2954c	Rv2954c
Rv2955c	Rv2955c
Rv2956	Rv2956
Rv2957	Rv2957
Rv2958c	Rv2958c
Rv2959c	Rv2959c
Rv2960c	Rv2960c
Rv2961	Rv2961
Rv2962c	Rv2962c
Rv2963	Rv2963
purU	Rv2964
kdtB	Rv2965c
Rv2966c	Rv2966c
pca	Rv2967c
Rv2968c	Rv2968c
Rv2969c	Rv2969c
lipN	Rv2970c
Rv2970A	Rv2970A
Rv2971	Rv2971
Rv2972c	Rv2972c
recG	Rv2973c
Rv2974c	Rv2974c
Rv2975c	Rv2975c
Rv2975a	Rv2975a
ung	Rv2976c
thiL	Rv2977c
Rv2978c	Rv2978c
Rv2979c	Rv2979c
Rv2980	Rv2980
ddlA	Rv2981c
gpdA2	Rv2982c
Rv2983	Rv2983
ppk1	Rv2984
mutT1	Rv2985
hupB	Rv2986c
leuD	Rv2987c
leuC	Rv2988c
Rv2989	Rv2989
Rv2990c	Rv2990c
Rv2991	Rv2991
gluU	Rvnt35
glnU	Rvnt36
gltS	Rv2992c
Rv2993c	Rv2993c
Rv2994	Rv2994
leuB	Rv2995c
serA1	Rv2996c
Rv2997	Rv2997
Rv2998	Rv2998
lppY	Rv2999
Rv3000	Rv3000
ilvC	Rv3001c
ilvN	Rv3002c
ilvB1	Rv3003c
cfp6	Rv3004
Rv3005c	Rv3005c
lppZ	Rv3006
Rv3007c	Rv3007c
Rv3008	Rv3008
gatB	Rv3009c
pfkA	Rv3010c
gatA	Rv3011c
gatC	Rv3012c
Rv3013	Rv3013
ligA	Rv3014c
Rv3015c	Rv3015c
lpqA	Rv3016
esxQ	Rv3017c
PPE46	Rv3018c
esxR	Rv3019c
esxS	Rv3020c
PPE47	pseudogene=unknown
PPE48	pseudogene=unknown
PE29	Rv3022A
Rv3023c	Rv3023c
trmU	Rv3024c
iscS	Rv3025c
Rv3026c	Rv3026c
Rv3027c	Rv3027c
fixB	Rv3028c
fixA	Rv3029c
Rv3030	Rv3030
Rv3031	Rv3031
Rv3032	Rv3032
Rv3032A	Rv3032A
Rv3033	Rv3033
Rv3034c	Rv3034c
Rv3035	Rv3035
TB22.2	Rv3036c
Rv3037c	Rv3037c
Rv3038c	Rv3038c
echA17	Rv3039c
Rv3040c	Rv3040c
Rv3041c	Rv3041c
serB2	Rv3042c
ctaD	Rv3043c
fecB	Rv3044
adhC	Rv3045
Rv3046c	Rv3046c
Rv3047c	Rv3047c
nrdF2	Rv3048c
Rv3049c	Rv3049c
Rv3050c	Rv3050c
nrdE	Rv3051c
nrdI	Rv3052c
nrdH	Rv3053c
Rv3054c	Rv3054c
Rv3055	Rv3055
dinP	Rv3056
Rv3057c	Rv3057c
Rv3058c	Rv3058c
cyp136	Rv3059
Rv3060c	Rv3060c
fadE22	Rv3061c
ligB	Rv3062
cstA	Rv3063
Rv3064c	Rv3064c
mmr	Rv3065
Rv3066	Rv3066
Rv3067	Rv3067
alaU	Rvnt37
pgmA	Rv3068c
Rv3069	Rv3069
Rv3070	Rv3070
Rv3071	Rv3071
Rv3072c	Rv3072c
Rv3073c	Rv3073c
Rv3074	Rv3074
Rv3075c	Rv3075c
Rv3076	Rv3076
atsF	Rv3077
hab	Rv3078
Rv3079c	Rv3079c
pknK	Rv3080c
Rv3081	Rv3081
virS	Rv3082c
Rv3083	Rv3083
lipR	Rv3084
Rv3085	Rv3085
adhD	Rv3086
Rv3087	Rv3087
tgs4	Rv3088
fadD13	Rv3089
Rv3090	Rv3090
Rv3091	Rv3091
Rv3092c	Rv3092c
Rv3093c	Rv3093c
Rv3094c	Rv3094c
Rv3095	Rv3095
Rv3096	Rv3096
lipY	Rv3097c
Rv3098c	Rv3098c
Rv3098A	Rv3098A
ssr	RVnc0046
Rv3099c	Rv3099c
smpB	Rv3100c
ftsX	Rv3101c
ftsE	Rv3102c
Rv3103c	Rv3103c
Rv3104c	Rv3104c
prfB	Rv3105c
fprA	Rv3106
agpS	Rv3107c
Rv3108	Rv3108
moaA1	Rv3109
moaB1	Rv3110
moaC1	Rv3111
moaD1	Rv3112
Rv3113	Rv3113
Rv3114	Rv3114
Rv3115	Rv3115
moeB2	Rv3116
cysA3	Rv3117
Rv3118	Rv3118
moaE1	Rv3119
Rv3120	Rv3120
cyp141	Rv3121
Rv3122	Rv3122
Rv3123	Rv3123
moaR1	Rv3124
PPE49	Rv3125c
Rv3126c	Rv3126c
Rv3127	Rv3127
Rv3128c	pseudogene=unknown
Rv3129	pseudogene=unknown
tgs1	Rv3130c
Rv3131	Rv3131
devS	Rv3132c
devR	Rv3133c
Rv3134c	Rv3134c
PPE50	Rv3135
PPE51	Rv3136
Rv3136A	Rv3136A
Rv3137	Rv3137
pflA	Rv3138
fadE24	Rv3139
fadE23	Rv3140
fadB4	Rv3141
Rv3142c	Rv3142c
Rv3143	Rv3143
PPE52	Rv3144c
nuoA	Rv3145
nuoB	Rv3146
nuoC	Rv3147
nuoD	Rv3148
nuoE	Rv3149
nuoF	Rv3150
nuoG	Rv3151
nuoH	Rv3152
nuoI	Rv3153
nuoJ	Rv3154
nuoK	Rv3155
nuoL	Rv3156
nuoM	Rv3157
nuoN	Rv3158
PPE53	Rv3159c
Rv3160c	Rv3160c
Rv3161c	Rv3161c
Rv3162c	Rv3162c
Rv3163c	Rv3163c
moxR3	Rv3164c
Rv3165c	Rv3165c
Rv3166c	Rv3166c
Rv3167c	Rv3167c
Rv3168	Rv3168
Rv3169	Rv3169
aofH	Rv3170
hpx	Rv3171c
Rv3172c	Rv3172c
Rv3173c	Rv3173c
Rv3174	Rv3174
Rv3175	Rv3175
mesT	Rv3176c
Rv3177	Rv3177
Rv3178	Rv3178
Rv3178a	Rv3178a
Rv3179	Rv3179
Rv3180c	Rv3180c
Rv3181c	Rv3181c
Rv3182	Rv3182
Rv3183	Rv3183
Rv3188	Rv3188
Rv3189	Rv3189
Rv3190c	Rv3190c
Rv3190A	Rv3190A
Rv3191c	Rv3191c
metU	Rvnt38
Rv3192	Rv3192
Rv3193c	Rv3193c
Rv3194c	Rv3194c
Rv3195	Rv3195
Rv3196	Rv3196
Rv3196A	Rv3196A
Rv3197	Rv3197
whiB7	Rv3197A
uvrD2	Rv3198c
Rv3198A	Rv3198A
nudC	Rv3199c
Rv3200c	Rv3200c
Rv3201c	Rv3201c
Rv3202c	Rv3202c
Rv3202a	Rv3202a
lipV	Rv3203
Rv3204	Rv3204
Rv3205c	Rv3205c
moeB1	Rv3206c
Rv3207c	Rv3207c
Rv3208	Rv3208
TB9.4	Rv3208A
Rv3209	Rv3209
Rv3210c	Rv3210c
rhlE	Rv3211
Rv3212	Rv3212
Rv3213c	Rv3213c
gpm2	Rv3214
entC	Rv3215
Rv3216	pseudogene=unknown
Rv3217c	Rv3217c
Rv3218	Rv3218
whiB1	Rv3219
Rv3220c	Rv3220c
TB7.3	Rv3221c
rshA	Rv3221A
Rv3222c	Rv3222c
sigH	Rv3223c
Rv3224	Rv3224
Rv3225c	Rv3225c
Rv3226c	Rv3226c
aroA	Rv3227
Rv3228	Rv3228
desA3	Rv3229c
Rv3230c	Rv3230c
Rv3231c	Rv3231c
ppk2	Rv3232c
Rv3233c	pseudogene=unknown
tgs3	Rv3234c
Rv3235	Rv3235
kefB	Rv3236c
Rv3237c	Rv3237c
Rv3238c	Rv3238c
Rv3239c	Rv3239c
secA1	Rv3240c
Rv3241c	Rv3241c
Rv3242c	Rv3242c
Rv3243c	Rv3243c
lpqB	Rv3244c
mtrB	Rv3245c
mtrA	Rv3246c
tmk	Rv3247c
sahH	Rv3248c
Rv3249c	Rv3249c
rubB	Rv3250c
rubA	Rv3251c
alkB	Rv3252c
Rv3253c	Rv3253c
Rv3254	Rv3254
manA	Rv3255c
Rv3256c	Rv3256c
pmmA	Rv3257c
Rv3258c	Rv3258c
Rv3259	Rv3259
whiB2	Rv3260c
fbiA	Rv3261
fbiB	Rv3262
Rv3263	Rv3263
manB	Rv3264c
wbbL1	Rv3265c
rmlD	Rv3266c
Rv3267	Rv3267
Rv3268	Rv3268
Rv3269	Rv3269
ctpC	Rv3270
Rv3271c	Rv3271c
Rv3272	Rv3272
Rv3273	Rv3273
fadE25	Rv3274c
purE	Rv3275c
purK	Rv3276c
Rv3277	Rv3277
Rv3278c	Rv3278c
birA	Rv3279c
accD5	Rv3280
accE5	Rv3281
Rv3282	Rv3282
sseA	Rv3283
Rv3284	Rv3284
accA3	Rv3285
sigF	Rv3286c
rsbW	Rv3287c
usfY	Rv3288c
Rv3289c	Rv3289c
lat	Rv3290c
lrpA	Rv3291c
Rv3292	Rv3292
pcd	Rv3293
Rv3294c	Rv3294c
Rv3295	Rv3295
lhr	Rv3296
nei	Rv3297
lpqC	Rv3298c
atsB	Rv3299c
Rv3300c	Rv3300c
phoY1	Rv3301c
glpD2	Rv3302c
lpdA	Rv3303c
Rv3304	Rv3304
amiA1	Rv3305c
amiB1	Rv3306c
deoD	Rv3307
pmmB	Rv3308
upp	Rv3309c
sapM	Rv3310
Rv3311	Rv3311
Rv3312c	Rv3312c
Rv3312b	Rv3312b
Rv3312A	Rv3312A
add	Rv3313c
deoA	Rv3314c
cdd	Rv3315c
sdhC	Rv3316
sdhD	Rv3317
sdhA	Rv3318
sdhB	Rv3319
vapC44	Rv3320c
vapB44	Rv3321c
Rv3322c	Rv3322c
moaX	Rv3323c
moaC3	Rv3324c
Rv3324A	pseudogene=unknown
Rv3327	Rv3327
sigJ	Rv3328c
Rv3329	Rv3329
dacB1	Rv3330
sugI	Rv3331
nagA	Rv3332
Rv3333c	Rv3333c
Rv3334	Rv3334
Rv3335c	Rv3335c
trpS	Rv3336c
Rv3337	pseudogene=unknown
icd1	Rv3339c
metC	Rv3340
metA	Rv3341
Rv3342	Rv3342
PPE54	Rv3343c
PE_PGRS49	Rv3344c
PE_PGRS50	Rv3345c
Rv3346c	Rv3346c
PPE55	Rv3347c
Rv3348	Rv3348
Rv3349c	Rv3349c
PPE56	Rv3350c
Rv3351c	Rv3351c
Rv3352c	Rv3352c
Rv3353c	Rv3353c
Rv3354	Rv3354
Rv3355c	Rv3355c
folD	Rv3356c
relJ	Rv3357
relK	Rv3358
Rv3359	Rv3359
Rv3360	Rv3360
Rv3361c	Rv3361c
Rv3362c	Rv3362c
Rv3363c	Rv3363c
Rv3364c	Rv3364c
Rv3365c	Rv3365c
spoU	Rv3366
PE_PGRS51	Rv3367
Rv3368c	Rv3368c
Rv3369	Rv3369
dnaE2	Rv3370c
Rv3371	Rv3371
otsB2	Rv3372
echA18	Rv3373
echA18'	pseudogene=unknown
amiD	Rv3375
Rv3376	Rv3376
Rv3377c	Rv3377c
Rv3378c	Rv3378c
dxs2	Rv3379c
Rv3382c	Rv3382c
idsB	Rv3383c
vapC46	Rv3384c
vapB46	Rv3385c
Rv3386	Rv3386
Rv3387	Rv3387
PE_PGRS52	Rv3388
htdY	Rv3389c
lpqD	Rv3390
acrA1	Rv3391
cmaA1	Rv3392c
iunH	Rv3393
Rv3394c	Rv3394c
Rv3395c	Rv3395c
Rv3395A	Rv3395A
guaA	Rv3396c
phyA	Rv3397c
