dnaA	Rv0001
Rv0359	Rv0359
Rv0360c	Rv0360c
Rv0361	Rv0361
mgtE	Rv0362
fba	Rv0363c
Rv0364	Rv0364
Rv0365c	Rv0365c
Rv0366c	Rv0366c
Rv0367c	Rv0367c
Rv0368c	Rv0368c
Rv0369c	Rv0369c
Rv0370c	Rv0370c
Rv0371c	Rv0371c
Rv0372c	Rv0372c
Rv0373c	Rv0373c
Rv0374c	Rv0374c
Rv0375c	Rv0375c
Rv0376c	Rv0376c
Rv0377	Rv0377
Rv0378	Rv0378
secE2	Rv0379
Rv0380c	Rv0380c
Rv0381c	Rv0381c
pyrE	Rv0382c
Rv0383c	Rv0383c
clpB	Rv0384c
Rv0385	Rv0385
Rv0386	Rv0386
Rv0387c	pseudogene=unknown
purT	Rv0389
Rv0390	Rv0390
metZ	Rv0391
ndhA	Rv0392c
Rv0393	Rv0393
Rv0394c	Rv0394c
Rv0395	Rv0395
Rv0396	Rv0396
Rv0397	Rv0397
Rv0397A	Rv0397A
Rv0398c	Rv0398c
lpqK	Rv0399c
fadE7	Rv0400c
Rv0401	Rv0401
mmpL1	Rv0402c
mmpS1	Rv0403c
fadD30	Rv0404
pks6	Rv0405
Rv0406c	Rv0406c
fgd1	Rv0407
pta	Rv0408
ackA	Rv0409
pknG	Rv0410c
glnH	Rv0411c
Rv0412c	Rv0412c
mutT3	Rv0413
thiE	Rv0414c
thiO	Rv0415
thiS	Rv0416
thiG	Rv0417
lpqL	Rv0418
lpqM	Rv0419
Rv0420c	Rv0420c
Rv0421c	Rv0421c
thiD	Rv0422c
thiC	Rv0423c
Rv0424c	Rv0424c
ctpH	Rv0425c
Rv0426c	Rv0426c
xthA	Rv0427c
Rv0428c	Rv0428c
def	Rv0429c
Rv0430	Rv0430
Rv0431	Rv0431
sodC	Rv0432
Rv0433	Rv0433
Rv0434	Rv0434
Rv0435c	Rv0435c
pssA	Rv0436c
psd	Rv0437c
moeA2	Rv0438c
Rv0439c	Rv0439c
groEL2	Rv0440
Rv0441c	Rv0441c
PPE10	Rv0442c
Rv0443	Rv0443
rskA	Rv0444c
sigK	Rv0445c
Rv0446c	Rv0446c
ufaA1	Rv0447c
Rv0448c	Rv0448c
Rv0449c	Rv0449c
mmpL4	Rv0450c
mmpS4	Rv0451c
Rv0452	Rv0452
PPE11	Rv0453
Rv0455c	Rv0455c
echA2	Rv0456c
mazF1	Rv0456A
mazE1	Rv0456B
Rv0457c	Rv0457c
Rv0458	Rv0458
Rv0459	Rv0459
Rv0460	Rv0460
Rv0461	Rv0461
lpdC	Rv0462
Rv0463	Rv0463
Rv0464c	Rv0464c
Rv0465c	Rv0465c
Rv0466	Rv0466
icl1	Rv0467
fadB2	Rv0468
umaA	Rv0469
pcaA	Rv0470c
Rv0470A	Rv0470A
Rv0471c	Rv0471c
Rv0472c	Rv0472c
Rv0473	Rv0473
Rv0474	Rv0474
hbhA	Rv0475
Rv0476	Rv0476
Rv0477	Rv0477
deoC	Rv0478
Rv0479c	Rv0479c
Rv0480c	Rv0480c
Rv0481c	Rv0481c
murB	Rv0482
lprQ	Rv0483
Rv0484c	Rv0484c
Rv0485	Rv0485
mshA	Rv0486
Rv0487	Rv0487
Rv0488	Rv0488
gpm1	Rv0489
senX3	Rv0490
regX3	Rv0491
Rv0492c	Rv0492c
Rv0492A	Rv0492A
Rv0493c	Rv0493c
Rv0494	Rv0494
Rv0495c	Rv0495c
Rv0496	Rv0496
Rv0497	Rv0497
Rv0498	Rv0498
Rv0499	Rv0499
proC	Rv0500
Rv0500A	Rv0500A
galE2	Rv0501
Rv0502	Rv0502
cmaA2	Rv0503c
Rv0504c	Rv0504c
serB1	Rv0505c
mmpS2	Rv0506
mmpL2	Rv0507
Rv0508	Rv0508
hemA	Rv0509
hemC	Rv0510
hemD	Rv0511
hemB	Rv0512
Rv0513	Rv0513
Rv0514	Rv0514
Rv0515	Rv0515
Rv0516c	Rv0516c
Rv0517	Rv0517
Rv0518	Rv0518
Rv0519c	Rv0519c
gabP	Rv0522
Rv0523c	Rv0523c
hemL	Rv0524
Rv0525	Rv0525
Rv0526	Rv0526
ccdA	Rv0527
Rv0528	Rv0528
ccsA	Rv0529
Rv0530	Rv0530
Rv0530A	Rv0530A
Rv0531	Rv0531
PE_PGRS6	Rv0532
fabH	Rv0533c
menA	Rv0534c
Rv0535	Rv0535
galE3	Rv0536
Rv0537c	Rv0537c
Rv0538	Rv0538
Rv0539	Rv0539
Rv0540	Rv0540
Rv0541c	Rv0541c
menE	Rv0542c
Rv0543c	Rv0543c
Rv0544c	Rv0544c
pitA	Rv0545c
Rv0546c	Rv0546c
Rv0547c	Rv0547c
menB	Rv0548c
vapC3	Rv0549c
vapB3	Rv0550c
fadD8	Rv0551c
Rv0552	Rv0552
menC	Rv0553
bpoC	Rv0554
menD	Rv0555
Rv0556	Rv0556
mgtA	Rv0557
menH	Rv0558
Rv0559c	Rv0559c
Rv0560c	Rv0560c
Rv0561c	Rv0561c
grcC1	Rv0562
htpX	Rv0563
gpdA1	Rv0564c
Rv0565c	Rv0565c
Rv0566c	Rv0566c
tyrT	Rvnt05
Rv0567	Rv0567
cyp135B1	Rv0568
Rv0569	Rv0569
nrdZ	Rv0570
Rv0571c	Rv0571c
Rv0572c	Rv0572c
pncB2	Rv0573c
Rv0574c	Rv0574c
Rv0575c	Rv0575c
Rv0576	Rv0576
TB27.3	Rv0577
PE_PGRS7	Rv0578c
Rv0579	Rv0579
Rv0580c	Rv0580c
vapB26	Rv0581
vapC26	Rv0582
lpqN	Rv0583c
Rv0584	Rv0584
Rv0585c	Rv0585c
mce2R	Rv0586
yrbE2A	Rv0587
Rv0588	Rv0588
mce2A	Rv0589
mce2C	Rv0591
mce2D	Rv0592
lprL	Rv0593
mce2F	Rv0594
vapC4	Rv0595c
vapB4	Rv0596c
Rv0597c	Rv0597c
vapC27	Rv0598c
vapB27	Rv0599c
Rv0600c	Rv0600c
Rv0601c	Rv0601c
tcrA	Rv0602c
Rv0603	Rv0603
lpqO	Rv0604
Rv0605	Rv0605
Rv0607	Rv0607
vapB28	Rv0608
vapC28	Rv0609
Rv0609A	Rv0609A
B55	RVnc0005
Rv0610c	Rv0610c
Rv0611c	Rv0611c
Rv0612	Rv0612
Rv0613c	Rv0613c
Rv0614	Rv0614
Rv0615	Rv0615
vapB29	Rv0616A
vapC29	Rv0617
galT	pseudogene=unknown
galK	Rv0620
Rv0621	Rv0621
Rv0622	Rv0622
vapB30	Rv0623
vapC30	Rv0624
Rv0625c	Rv0625c
vapB5	Rv0626
vapC5	Rv0627
Rv0628c	Rv0628c
recD	Rv0629c
recB	Rv0630c
recC	Rv0631c
echA3	Rv0632c
Rv0633c	Rv0633c
Rv0634c	Rv0634c
Rv0634A	Rv0634A
thrT	Rvnt06
metT	Rvnt07
rpmG2	Rv0634B
hadA	Rv0635
hadB	Rv0636
hadC	Rv0637
trpT	Rvnt08
secE1	Rv0638
nusG	Rv0639
rplK	Rv0640
rplA	Rv0641
mmaA4	Rv0642c
mmaA3	Rv0643c
mmaA2	Rv0644c
mmaA1	Rv0645c
lipG	Rv0646c
Rv0647c	Rv0647c
Rv0648	Rv0648
fabD2	Rv0649
Rv0650	Rv0650
rplJ	Rv0651
rplL	Rv0652
Rv0653c	Rv0653c
Rv0654	Rv0654
mkl	Rv0655
vapC6	Rv0656c
vapB6	Rv0657c
Rv0658c	Rv0658c
mazF2	Rv0659c
mazE2	Rv0660c
vapC7	Rv0661c
vapB7	Rv0662c
atsD	Rv0663
vapB8	Rv0664
vapC8	Rv0665
Rv0666	Rv0666
rpoB	Rv0667
rpoC	Rv0668
Rv0669c	Rv0669c
end	Rv0670
lpqP	Rv0671
fadE8	Rv0672
echA4	Rv0673
Rv0674	Rv0674
echA5	Rv0675
mmpL5	Rv0676c
mmpS5	Rv0677c
Rv0678	Rv0678
Rv0679c	Rv0679c
Rv0680c	Rv0680c
Rv0681	Rv0681
rpsL	Rv0682
rpsG	Rv0683
fusA1	Rv0684
tuf	Rv0685
Rv0686	Rv0686
Rv0687	Rv0687
Rv0688	Rv0688
Rv0689c	Rv0689c
Rv0690c	Rv0690c
Rv0691c	Rv0691c
Rv0691A	Rv0691A
Rv0692	Rv0692
Rv0693	Rv0693
Rv0694	Rv0694
Rv0695	Rv0695
Rv0696	Rv0696
Rv0697	Rv0697
Rv0698	Rv0698
Rv0699	Rv0699
rpsJ	Rv0700
rplC	Rv0701
rplD	Rv0702
rplW	Rv0703
rplB	Rv0704
rpsS	Rv0705
rplV	Rv0706
rpsC	Rv0707
rplP	Rv0708
rpmC	Rv0709
rpsQ	Rv0710
atsA	Rv0711
Rv0712	Rv0712
Rv0713	Rv0713
rplN	Rv0714
rplX	Rv0715
rplE	Rv0716
rpsN1	Rv0717
rpsH	Rv0718
rplF	Rv0719
rplR	Rv0720
rpsE	Rv0721
rpmD	Rv0722
rplO	Rv0723
sppA	Rv0724
Rv0725c	Rv0725c
Rv0726c	Rv0726c
fucA	Rv0727c
serA2	Rv0728c
xylB	Rv0729
Rv0730	Rv0730
Rv0731c	Rv0731c
secY	Rv0732
adk	Rv0733
mapA	Rv0734
sigL	Rv0735
rslA	Rv0736
Rv0737	Rv0737
Rv0738	Rv0738
Rv0739	Rv0739
Rv0740	Rv0740
Rv0742	Rv0742
Rv0743c	Rv0743c
Rv0744c	Rv0744c
Rv0745	Rv0745
PE_PGRS9	Rv0746
PE_PGRS10	Rv0747
vapB31	Rv0748
vapC31	Rv0749
Rv0749A	Rv0749A
Rv0750	Rv0750
mmsB	Rv0751c
fadE9	Rv0752c
mmsA	Rv0753c
PE_PGRS11	Rv0754
PPE12	Rv0755c
thrV	Rvnt09
Rv0756c	Rv0756c
phoP	Rv0757
phoR	Rv0758
Rv0759c	Rv0759c
Rv0760c	Rv0760c
adhB	Rv0761c
Rv0762c	Rv0762c
Rv0763c	Rv0763c
cyp51	Rv0764c
Rv0765c	Rv0765c
cyp123	Rv0766c
Rv0767c	Rv0767c
aldA	Rv0768
Rv0769	Rv0769
Rv0770	Rv0770
Rv0771	Rv0771
purD	Rv0772
ggtA	Rv0773c
Rv0774c	Rv0774c
Rv0775	Rv0775
Rv0776c	Rv0776c
purB	Rv0777
cyp126	Rv0778
Rv0779c	Rv0779c
purC	Rv0780
emrB	Rv0783c
Rv0784	Rv0784
Rv0785	Rv0785
Rv0786c	Rv0786c
Rv0787	Rv0787
Rv0787A	Rv0787A
purQ	Rv0788
Rv0789c	Rv0789c
Rv0790c	Rv0790c
Rv0791c	Rv0791c
Rv0792c	Rv0792c
Rv0793	Rv0793
lpdB	Rv0794c
Rv0797	Rv0797
cfp29	Rv0798c
Rv0799c	Rv0799c
pepC	Rv0800
Rv0801	Rv0801
Rv0802c	Rv0802c
purL	Rv0803
Rv0804	Rv0804
Rv0805	Rv0805
cpsY	Rv0806c
Rv0807	Rv0807
purF	Rv0808
purM	Rv0809
Rv0810c	Rv0810c
