Accession	Lineage
ERS053705	lineage4
ERS053704	lineage4
ERS053707	lineage4
ERS053706	lineage4
ERS053709	lineage4
ERS124804	lineage4
ERS181401	lineage2
ERS181548	lineage2
SRS490590	lineage4
ERS094139	lineage4
ERS094138	lineage4
ERS094137	lineage2
ERS094136	lineage2
ERS094135	lineage4
ERS094134	lineage2
ERS094133	lineage2
ERS181546	lineage2
ERS094131	lineage2
ERS094130	lineage4
ERS181396	lineage2
ERS181397	lineage2
ERS096325	lineage2
ERS181395	lineage4
ERS181392	lineage4
ERS096384	lineage2
ERS181390	lineage2
ERS181391	lineage4
ERS096385	lineage2
ERS181428	lineage4
ERS181429	lineage4
ERS181398	lineage2
ERS181399	lineage4
ERS094249	lineage2
SRS415199	lineage4
ERS094248	lineage2
ERS181325	lineage2
ERS181324	lineage2
SRS415158	lineage4
SRS415159	lineage4
ERS181323	lineage2
ERS181444	lineage2
ERS181322	lineage2
ERS096423	lineage2
ERS096422	lineage4
ERS096421	lineage4
ERS096420	lineage2
ERS096427	lineage2
ERS096426	lineage2
ERS096425	lineage2
ERS096424	lineage2
ERS124810	lineage2
ERS124811	lineage2
ERS096429	lineage2
ERS094231	lineage4
ERS124814	lineage2
ERS124815	lineage2
ERS096327	lineage4
ERS124817	lineage4
ERS094241	lineage4
ERS094240	lineage2
ERS124809	lineage2
SRS494409	lineage4
SRS494408	lineage4
ERS181374	lineage2
ERS094242	lineage2
ERS181318	lineage2
ERS096329	lineage4
ERS181459	lineage4
ERS066638	lineage2
SRS494404	lineage4
SRS494407	lineage4
ERS094244	lineage2
ERS181316	lineage2
ERS181328	lineage2
SRS415198	lineage2
ERS096503	lineage2
ERS181306	lineage2
ERS096321	lineage4
ERS181311	lineage2
ERS096322	lineage2
ERS096328	lineage2
ERS094230	lineage2
ERS096323	lineage3
ERS094188	lineage2
ERS094189	lineage2
ERS094186	lineage4
ERS094187	lineage2
ERS094184	lineage2
ERS094185	lineage2
ERS094182	lineage4
ERS094183	lineage2
ERS094180	lineage2
ERS094181	lineage2
ERS181344	lineage2
ERS181347	lineage4
ERS094233	lineage2
ERS181341	lineage4
ERS096326	lineage4
ERS181343	lineage4
ERS050972	lineage4
ERS050971	lineage2
ERS050970	lineage4
ERS181349	lineage2
ERS181348	lineage2
ERS094235	lineage2
ERS094237	lineage2
ERS181346	lineage2
SRS454489	lineage2
SRS454488	lineage2
ERS181579	lineage2
ERS181301	lineage2
SRS454485	lineage2
SRS415172	lineage4
SRS454487	lineage4
SRS454486	lineage4
SRS454481	lineage4
SRS454480	lineage4
SRS454483	lineage4
ERS181340	lineage2
ERS066639	lineage4
ERS053744	lineage2
ERS096490	lineage2
ERS096491	lineage2
ERS053741	lineage2
ERS053740	lineage2
ERS053743	lineage4
ERS053742	lineage2
ERS066631	lineage4
ERS066630	lineage2
ERS066633	lineage2
ERS066632	lineage2
ERS066635	lineage2
ERS053663	lineage4
ERS066637	lineage4
ERS066636	lineage4
ERS096399	lineage2
ERS096398	lineage2
ERS096395	lineage2
ERS096394	lineage2
ERS096397	lineage2
ERS096396	lineage4
ERS096391	lineage4
ERS096390	lineage2
ERS096393	lineage2
ERS096392	lineage2
ERS094173	lineage2
ERS094172	lineage4
ERS094171	lineage2
ERS094170	lineage4
ERS094177	lineage2
ERS094176	lineage4
ERS094175	lineage2
ERS094174	lineage2
ERS094274	lineage4
ERS181461	lineage4
ERS094179	lineage2
ERS094178	lineage2
ERS094270	lineage4
ERS094271	lineage2
ERS094272	lineage2
ERS094273	lineage2
ERS066684	lineage4
ERS066685	lineage2
ERS066686	lineage2
ERS066687	lineage2
ERS066680	lineage2
ERS066681	lineage2
ERS066682	lineage2
ERS066683	lineage2
ERS181299	lineage2
ERS181298	lineage2
ERS066688	lineage4
ERS066689	lineage4
SRS490563	lineage4
SRS490560	lineage4
SRS490566	lineage4
SRS490565	lineage4
SRS415232	lineage4
ERS181574	lineage2
ERS181571	lineage2
SRS490558	lineage4
ERS053693	lineage4
ERS053692	lineage2
ERS053691	lineage4
ERS053690	lineage2
ERS053697	lineage4
ERS053695	lineage2
ERS053694	lineage2
ERS053699	lineage2
ERS053698	lineage2
SRS494371	lineage2
ERS181575	lineage4
ERS181514	lineage2
ERS181515	lineage2
ERS181516	lineage4
ERS181517	lineage2
ERS181510	lineage2
ERS181511	lineage2
ERS181512	lineage4
ERS181513	lineage2
SRS415183	lineage2
SRS415182	lineage4
SRS415181	lineage2
SRS415180	lineage4
ERS181518	lineage2
ERS181519	lineage2
SRS494376	lineage1
SRS494375	lineage4
ERS053662	lineage2
ERS124820	lineage2
SRS494379	lineage4
ERS181553	lineage2
SRS494378	lineage2
ERS096478	lineage4
ERS096479	lineage4
ERS096474	lineage2
ERS096475	lineage2
ERS096477	lineage4
ERS096470	lineage2
ERS096471	lineage2
ERS096472	lineage2
ERS096473	lineage4
SRS415191	lineage4
SRS494411	lineage4
ERS181442	lineage2
SRS494364	lineage2
ERS181426	lineage2
SRS494366	lineage3
SRS454484	lineage4
SRS494368	lineage4
SRS494369	lineage2
